Year,SQC,Definition ,Source,Project Domain,Reference,Technical,Environmental,Economic,Social
2023,Effectiveness,Accuracy and completeness of the system (measure computing resources),Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,,Group 5 - 2023,Education,,,,,
,,,Group 17 - 2023,,,,,,
,,Accuracy and completeness with which users achieve specified goals (measure time needed by users to achieve a goal accurately and complerely (with the system)),Group 1 - 2023,Urban Mobility,,,,,X
,,,Group 5 - 2023,Education,,,,,
,,,Group 17 - 2023,,,,,,
,Interoperability,A system can exchange information with other systems and use the information that has been exchanged  ,Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,"Data Exchange Success Rate: estimates the proportion of data exchanges or transactions that are successfully completed between different systems or devices within a network. It evaluates how effectively various systems can communicate with one another without mistakes, data loss, or incompatibilities ",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,
,,"Degree to which two or more systems, products or components can exchange information and use the information that has been exchanged. ",Group 10 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,"Students, teachers and staff members will be able to communicate and exchange information instantly with each other. We think that this will make the current communication system more efficient. ",Group 17 - 2023,Education,,,,,X
,,Degree to which a system can exchange information with other systems and use the information. ,Group 17 - 2023,,,X,,,
,,,Group 11 - 2023,Agriculture,,,,,
,,,Group 18 - 2023,Art and Museum,,,,,
,,,Group 2 - 2023,Art and Museum,[ISO/IEC 25010:2011],,,,
,,,Group 4 - 2023,,,,,,
,,,Group 7 - 2023,,,,,,
,Computation Efficiency,Resources expended in relation to the accuracy and completeness of the system.,Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,,Group 7 - 2023,Art and Museum,,,,,
,,,Group 17 - 2023,Education,,,,,
,,"Resources expended in relation to the accuracy and completeness with which users achieve their goals, focusing on the time, effort, and cognitive load required by users to interact effectively with the system.",Group 1 - 2023,Urban Mobility,,,,,X
,,,Group 7 - 2023,Art and Museum,,,,,
,,,Group 17 - 2023,Education,,,,,
,,"The degree to which the software product provides appropriate performance, relative to the computational resources (e.g., CPU, memory, storage) used, under stated conditions.",Group 11 - 2023,Agriculture,,X,,,
,,"The degree to which the software product provides appropriate performance, relative to the financial resources expended, enabling cost reduction, improved ROI, and long-term economic benefits under stated conditions.",Group 11 - 2023,Agriculture,,,,X,
,Health and Safety Risk,System mitigates the potential risk to people in the intended contexts of use ,Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,,,X
,,,Group 17 - 2023,Education,,,,,
,,"The system includes mechanisms and features to identify, monitor, and mitigate potential risks to people during use in the intended contexts.",Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,,Group 17 - 2023,Education,,,,,
,Resource Utilization,"The amounts and types of energy or natural resources used by the system, when performing its functions, are efficient and meet sustainability requirements.",Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,X,,
,,,Group 6 - 2023,Agriculture,"* from the report, or revised ISO",,,,
,,,Group 17 - 2023,Education,,,,,
,,"The amounts and types of resources used by the system ensure cost-efficiency, minimize expenses, and support financial sustainability.",Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,,X,
,,,Group 6 - 2023,Agriculture,,,,,
,,,Group 17 - 2023,Education,,,,,
,,"The optimal use of resources such as water, energy, fertilizers, pesticides, land, and labor, while simultaneously considering the preservation and protection of the environment.",Group 3 - 2023,Agriculture,ISO/IEC 25000,,X,,
,,"Optimizing the use of resources to enhance economic efficiency, productivity, and profitability while considering the financial aspects of agricultural practices.",,,,,,X,
,,The degree to which the amounts and types of resources are used by the system with minimal environmental waste and impact.,Group 9 - 2023,Urban Mobility,[ISO 39001:2012],,X,,
,,"The degree to which the amounts and types of resources are used by the system efficiently, minimizing waste and reducing costs.",,,,,,X,
,,The sustainable management of irrigation water to minimize waste and preserve water resources.,Group 11 - 2023,Agriculture,ISO/IEC 25000,,X,,
,Trust,"Refers to the confidence, reliability, and positive expectations that agricultural stakeholders have in the use of digital technologies and data-driven solutions for agricultural practices.",Group 3 - 2023,Agriculture,ISO/IEC 25000,,,,X
,,"Stakeholders have confidence that a product or system will reliably behave as intended, meeting their expectations and needs.",Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],,,,X
,,,Group 17 - 2023,Education,,,,,
,,,Group 9 - 2023,Urban Mobility,,,,,
,,,Group 7 - 2023,Art and Museum,,,,,
,,"Stakeholders have confidence that a product or system will perform as intended, based on its reliability and adherence to specifications.",Group 1 - 2023,Urban Mobility,,X,,,
,,,Group 17 - 2023,Education,,,,,
,,,Group 9 - 2023,Urban Mobility,,,,,
,Usefulness,"The degree to which the system effectively supports the achievement of pragmatic goals, ensuring reliable results and consistent performance during use.",Group 1 - 2023,Urban Mobility,[ISO/IEC 25010:2011],X,,,
,,,Group 7 - 2023,Art and Museum,,,,,
,,,Group 10 - 2023,Urban Mobility,,,,,
,,"The degree to which a user is satisfied with their perceived achievement of pragmatic goals, focusing on the personal impact, results of use, and the broader consequences for their work or life.",Group 1 - 2023,Urban Mobility,,,,,X
